operationId,tags,url
getAllMetadataElementRelationships,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementAtEnd1GUID}/linked-by-any-type/to-elements/{metadataElementAtEnd2GUID}
getMetadataElementByGUID_3,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{elementGUID}
getMetadataElementByGUID,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{elementGUID}
getAnchoredElementsGraph,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{elementGUID}/with-anchored-elements
getMetadataElementHistory,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{elementGUID}/history
getClassificationHistory_2,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{elementGUID}/classifications/{classificationName}/history
getMetadataElementGUIDByUniqueName,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/guid-by-unique-name
createMetadataElementFromTemplate,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/from-template
getMetadataElementByUniqueName,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-unique-name
findMetadataElementsWithString,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-search-string
findElementsInAnchorScope,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-search-string/in-anchor-scope/{anchorScopeGUID}
findElementsInAnchorDomain,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-search-string/in-anchor-domain/{anchorDomainName}
findElementsForAnchor,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-search-string/for-anchor/{anchorGUID}
findMetadataElements,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/by-search-conditions
